document,cluster
ABSTRACT THOUGHT BUILDING,0
BLACK.,0
BUS,0
CLASSROOM,0
DAD'S HEADQUARTERS,0
DO NOT ENTER WHEN LIGHT FLASHING.,0
DREAM PRODUCTIONS,0
EXT. SCHOOL - MORNING,0
FALLS!,0
GOOFBALL ISLAND,0
HEADQUARTERS,1
HOCKEY RINK,0
HOSPITAL,0
IMAGINATIONLAND,0
LONG-TERM MEMORY,2
MEMORY DUMP,0
MIND WORLD,0
MINNESOTA HOUSE,0
MINNESOTA LAKE,0
MOM'S HEADQUARTERS,0
ON THE SCREEN:,0
SAN FRANCISCO HOUSE,3
SAN FRANCISCO STREET,0
STAGE B,0
SUBCONSCIOUS CAVE,0
SUBCONSCIOUS GATE,0
SUBCONSCIOUS STAIRS,0
THE BACK OF THE ROOM,0
TITLE CARD: INSIDE OUT,0
TRAIN CAR,0
TRAIN STATION,0
